CORRESPONDING SHOT,EVENT_ID,MOMENT_NUMBER,MOMENT_DATA
1,138,19,"[2, 1445992927793, 621.19, 17.1, None, [[-1, -1, 6.47558, 24.62575, 4.47466], [1610612737, 2594, 8.23746, 32.01238, 0.0], [1610612737, 201143, 12.2641, 26.26916, 0.0], [1610612737, 203145, 17.84829, 12.89696, 0.0], [1610612737, 203488, 6.10431, 24.59888, 0.0], [1610612737, 203471, 1.8404800000000001, -1.03691, 0.0], [1610612765, 2581, 1.8404800000000001, -1.03691, 0.0], [1610612765, 101141, 33.01829, 26.07981, 0.0], [1610612765, 203382, 4.9450400000000005, 26.0649, 0.0], [1610612765, 201975, 27.45883, 42.7833, 0.0], [1610612765, 1626169, 34.23642, 9.90811, 0.0]]]"
1,138,87,"[2, 1445992930512, 618.43, 22.08, None, [[-1, -1, 16.08828, 8.38969, 3.94778], [1610612737, 2594, 40.71473, 41.94739, 0.0], [1610612737, 201143, 30.10081, 27.11811, 0.0], [1610612737, 203145, 46.51842, 7.15775, 0.0], [1610612737, 203488, 4.20229, 25.14019, 0.0], [1610612737, 203471, 15.75885, 7.08959, 0.0], [1610612765, 2581, 35.88266, 13.40061, 0.0], [1610612765, 101141, 50.98647, 25.73531, 0.0], [1610612765, 203382, 36.88681, 29.95733, 0.0], [1610612765, 201975, 62.01471, 35.69451, 0.0], [1610612765, 1626169, 62.62359, 14.57533, 0.0]]]"
1,138,117,"[2, 1445992931712, 617.21, 21.1, None, [[-1, -1, 34.46056, 5.34441, 2.59551], [1610612737, 2594, 55.04837, 45.39388, 0.0], [1610612737, 201143, 46.59783, 28.56159, 0.0], [1610612737, 203145, 65.6669, 3.65135, 0.0], [1610612737, 203488, 18.7134, 26.48756, 0.0], [1610612737, 203471, 32.338, 5.58261, 0.0], [1610612765, 2581, 54.66694, 14.8249, 0.0], [1610612765, 101141, 59.41318, 24.88343, 0.0], [1610612765, 203382, 55.63916, 29.27925, 0.0], [1610612765, 201975, 73.66825, 37.08949, 0.0], [1610612765, 1626169, 75.70373, 9.58152, 0.0]]]"
1,138,127,"[2, 1445992932112, 616.8, 20.77, None, [[-1, -1, 39.27174, 4.02441, 4.15774], [1610612737, 2594, 58.14187, 45.75361, 0.0], [1610612737, 201143, 52.12549, 28.75886, 0.0], [1610612737, 203145, 71.18676, 3.01874, 0.0], [1610612737, 203488, 24.720860000000002, 26.38851, 0.0], [1610612737, 203471, 38.26505, 4.94423, 0.0], [1610612765, 2581, 59.85162, 14.3308, 0.0], [1610612765, 101141, 62.38814, 24.55734, 0.0], [1610612765, 203382, 60.65427, 28.83298, 0.0], [1610612765, 201975, 75.81968, 37.9406, 0.0], [1610612765, 1626169, 79.30437, 8.46301, 0.0]]]"
1,138,264,"[2, 1445992937592, 611.23, 16.3, None, [[-1, -1, 87.36709, 25.11079, 5.68693], [1610612737, 2594, 61.81955, 45.34955, 0.0], [1610612737, 201143, 81.24584, 35.89029, 0.0], [1610612737, 203145, 86.66358, 23.65976, 0.0], [1610612737, 203488, 71.54468, 17.49618, 0.0], [1610612737, 203471, 68.54219, 11.51938, 0.0], [1610612765, 2581, 75.28728, 16.27811, 0.0], [1610612765, 101141, 76.37564, 21.05756, 0.0], [1610612765, 203382, 82.45461, 33.09081, 0.0], [1610612765, 201975, 69.46875, 41.94848, 0.0], [1610612765, 1626169, 82.58003, 21.78534, 0.0]]]"
1,138,273,"[2, 1445992937952, 610.86, 16.01, None, [[-1, -1, 89.08328, 26.75859, 10.66675], [1610612737, 2594, 60.59506, 44.85108, 0.0], [1610612737, 201143, 80.50236, 35.56427, 0.0], [1610612737, 203145, 89.39585, 26.39082, 0.0], [1610612737, 203488, 71.80557, 17.10659, 0.0], [1610612737, 203471, 66.57572, 12.87933, 0.0], [1610612765, 2581, 74.75321, 19.11912, 0.0], [1610612765, 101141, 76.80161, 20.74638, 0.0], [1610612765, 203382, 83.35184, 32.07713, 0.0], [1610612765, 201975, 70.71885, 40.87657, 0.0], [1610612765, 1626169, 86.27102, 24.20541, 0.0]]]"
1,138,344,"[2, 1445992940793, 607.97, 22.1, None, [[-1, -1, 65.72936, 17.39862, 0.99787], [1610612737, 2594, 33.89495, 38.21676, 0.0], [1610612737, 201143, 52.92783, 26.85807, 0.0], [1610612737, 203145, 66.7131, 35.2119, 0.0], [1610612737, 203488, 40.61339, 14.1116, 0.0], [1610612737, 203471, 46.13405, 15.77642, 0.0], [1610612765, 2581, 66.35805, 18.82968, 0.0], [1610612765, 101141, 61.39986, 15.19147, 0.0], [1610612765, 203382, 74.60754, 24.79326, 0.0], [1610612765, 201975, 45.2098, 45.19192, 0.0], [1610612765, 1626169, 71.96943, 36.86191, 0.0]]]"
1,138,348,"[2, 1445992940952, 607.81, 21.94, None, [[-1, -1, 64.4626, 16.50086, 2.50616], [1610612737, 2594, 31.80289, 37.9658, 0.0], [1610612737, 201143, 50.54334, 26.2516, 0.0], [1610612737, 203145, 64.02956, 35.19538, 0.0], [1610612737, 203488, 38.16819, 14.5341, 0.0], [1610612737, 203471, 44.56767, 15.76399, 0.0], [1610612765, 2581, 64.32663, 18.08283, 0.0], [1610612765, 101141, 58.89947, 14.39439, 0.0], [1610612765, 203382, 72.40327, 25.12287, 0.0], [1610612765, 201975, 42.45098, 45.54188, 0.0], [1610612765, 1626169, 69.76848, 37.73693, 0.0]]]"
1,138,393,"[2, 1445992942752, 605.98, 20.21, None, [[-1, -1, 38.01811, 11.58125, 1.7916], [1610612737, 2594, 13.06629, 34.3913, 0.0], [1610612737, 201143, 29.39333, 23.07392, 0.0], [1610612737, 203145, 34.56826, 35.78038, 0.0], [1610612737, 203488, 19.10269, 14.77656, 0.0], [1610612737, 203471, 30.98362, 15.25715, 0.0], [1610612765, 2581, 39.37994, 12.42666, 0.0], [1610612765, 101141, 30.24299, 10.81023, 0.0], [1610612765, 203382, 43.39173, 27.62424, 0.0], [1610612765, 201975, 14.25476, 46.91733, 0.0], [1610612765, 1626169, 43.88662, 43.69829, 0.0]]]"
1,138,408,"[2, 1445992943352, 605.37, 19.63, None, [[-1, -1, 29.4767, 7.46127, 1.67978], [1610612737, 2594, 9.89029, 31.93957, 0.0], [1610612737, 201143, 25.28783, 24.06069, 0.0], [1610612737, 203145, 27.266750000000002, 36.87281, 0.0], [1610612737, 203488, 20.06158, 12.53976, 0.0], [1610612737, 203471, 26.96576, 14.04978, 0.0], [1610612765, 2581, 30.65857, 8.88011, 0.0], [1610612765, 101141, 27.01107, 12.32385, 0.0], [1610612765, 203382, 34.47863, 26.74126, 0.0], [1610612765, 201975, 8.66267, 47.46981, 0.0], [1610612765, 1626169, 37.14491, 44.26666, 0.0]]]"
2,152,14,"[2, 1445993080587, 529.27, 11.6, None, [[-1, -1, 5.0294, 26.14944, 5.53824], [1610612737, 2594, 12.526, 28.65447, 0.0], [1610612737, 201143, 14.71651, 16.23086, 0.0], [1610612737, 201952, 12.32053, 24.04307, 0.0], [1610612737, 203145, 4.36801, 4.22255, 0.0], [1610612737, 203488, 5.15533, 27.17162, 0.0], [1610612765, 2581, 32.89708, 26.9794, 0.0], [1610612765, 101141, 29.86785, 12.65448, 0.0], [1610612765, 203382, 6.28867, 29.40725, 0.0], [1610612765, 201975, 35.29589, 29.8911, 0.0], [1610612765, 1626169, 6.8260000000000005, 3.43542, 0.0]]]"
2,152,23,"[2, 1445993080947, 528.92, 11.22, None, [[-1, -1, 4.8788800000000005, 26.52473, 3.67935], [1610612737, 2594, 12.15753, 28.59489, 0.0], [1610612737, 201143, 14.42703, 16.75141, 0.0], [1610612737, 201952, 10.25023, 22.99242, 0.0], [1610612737, 203145, 5.26039, 4.48504, 0.0], [1610612737, 203488, 4.29926, 26.94462, 0.0], [1610612765, 2581, 34.73421, 26.94369, 0.0], [1610612765, 101141, 32.05057, 13.05839, 0.0], [1610612765, 203382, 7.6224, 29.99653, 0.0], [1610612765, 201975, 36.77786, 29.86512, 0.0], [1610612765, 1626169, 10.20772, 4.24316, 0.0]]]"
2,152,45,"[2, 1445993081827, 528.04, 23.2, None, [[-1, -1, 1.11179, 24.98395, 4.81688], [1610612737, 2594, 17.80658, 29.94798, 0.0], [1610612737, 201143, 19.57645, 18.96203, 0.0], [1610612737, 201952, 8.57489, 19.23544, 0.0], [1610612737, 203145, 8.31841, 6.04371, 0.0], [1610612737, 203488, -0.38275000000000003, 26.1873, 0.0], [1610612765, 2581, 40.14299, 26.68293, 0.0], [1610612765, 101141, 38.86785, 15.1615, 0.0], [1610612765, 203382, 15.17586, 29.9129, 0.0], [1610612765, 201975, 42.06677, 30.43218, 0.0], [1610612765, 1626169, 22.07188, 6.9341, 0.0]]]"
2,152,49,"[2, 1445993081987, 527.88, 23.05, None, [[-1, -1, 4.43711, 22.36717, 5.39585], [1610612737, 2594, 19.46935, 30.41357, 0.0], [1610612737, 201143, 21.28999, 19.33989, 0.0], [1610612737, 201952, 9.04582, 18.50624, 0.0], [1610612737, 203145, 9.30191, 6.29063, 0.0], [1610612737, 203488, -0.58448, 26.17454, 0.0], [1610612765, 2581, 41.24648, 26.38201, 0.0], [1610612765, 101141, 40.32087, 15.64585, 0.0], [1610612765, 203382, 17.05884, 29.61361, 0.0], [1610612765, 201975, 43.1884, 30.56281, 0.0], [1610612765, 1626169, 24.5306, 7.64863, 0.0]]]"
2,152,56,"[2, 1445993082267, 527.6, 22.79, None, [[-1, -1, 10.26486, 18.49699, 4.98453], [1610612737, 2594, 22.67286, 31.57412, 0.0], [1610612737, 201143, 24.70789, 19.98095, 0.0], [1610612737, 201952, 10.6632, 17.34009, 0.0], [1610612737, 203145, 11.58136, 6.62583, 0.0], [1610612737, 203488, -0.25611, 26.364, 0.0], [1610612765, 2581, 43.26564, 25.72618, 0.0], [1610612765, 101141, 42.84893, 16.63705, 0.0], [1610612765, 203382, 20.72537, 29.17087, 0.0], [1610612765, 201975, 45.35613, 30.96158, 0.0], [1610612765, 1626169, 28.89528, 8.88027, 0.0]]]"
2,152,82,"[2, 1445993083307, 526.57, 21.81, None, [[-1, -1, 24.75345, 13.7101, 2.75105], [1610612737, 2594, 35.53009, 36.65046, 0.0], [1610612737, 201143, 40.47364, 21.59447, 0.0], [1610612737, 201952, 22.76805, 13.58905, 0.0], [1610612737, 203145, 25.53338, 5.27426, 0.0], [1610612737, 203488, 9.52571, 25.97902, 0.0], [1610612765, 2581, 51.26179, 22.34668, 0.0], [1610612765, 101141, 52.44041, 19.49009, 0.0], [1610612765, 203382, 37.69717, 27.4073, 0.0], [1610612765, 201975, 54.76403, 32.76092, 0.0], [1610612765, 1626169, 44.9856, 10.69819, 0.0]]]"
2,152,94,"[2, 1445993083787, 526.1, 21.37, None, [[-1, -1, 30.45992, 10.77809, 3.9903], [1610612737, 2594, 41.92318, 39.08961, 0.0], [1610612737, 201143, 48.35501, 21.97623, 0.0], [1610612737, 201952, 29.63338, 11.65143, 0.0], [1610612737, 203145, 33.49683, 4.19413, 0.0], [1610612737, 203488, 16.40871, 26.03136, 0.0], [1610612765, 2581, 54.7974, 20.57007, 0.0], [1610612765, 101141, 55.98656, 19.78245, 0.0], [1610612765, 203382, 46.32477, 26.76621, 0.0], [1610612765, 201975, 59.43625, 33.61992, 0.0], [1610612765, 1626169, 52.03308, 9.91354, 0.0]]]"
